url,title,description,duration,adaptive_support,remote_support,test_type,combined_text,embedding_dim
https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,Automata - SQL (New),We recommend upgrading to a modern browser.,30,No,Yes,"Personality & Behavior, Knowledge & Skills","Automata - SQL (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,Manual Testing (New),We recommend upgrading to a modern browser.,10,No,Yes,"Personality & Behavior, Knowledge & Skills","Manual Testing (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Administrative Professional - Short Form,We recommend upgrading to a modern browser.,36,No,Yes,"Personality & Behavior, Knowledge & Skills","Administrative Professional - Short Form We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,Verify - Numerical Ability,We recommend upgrading to a modern browser.,2016,Yes,Yes,"Personality & Behavior, Knowledge & Skills","Verify - Numerical Ability We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,Financial Professional - Short Form,We recommend upgrading to a modern browser.,35,No,Yes,"Personality & Behavior, Knowledge & Skills","Financial Professional - Short Form We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Bank Administrative Assistant - Short Form,We recommend upgrading to a modern browser.,35,No,Yes,"Personality & Behavior, Knowledge & Skills","Bank Administrative Assistant - Short Form We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,General Entry Level – Data Entry 7.0 Solution,We recommend upgrading to a modern browser.,24,No,Yes,"Personality & Behavior, Knowledge & Skills","General Entry Level – Data Entry 7.0 Solution We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,Basic Computer Literacy (Windows 10) (New),We recommend upgrading to a modern browser.,30,No,Yes,"Personality & Behavior, Knowledge & Skills","Basic Computer Literacy (Windows 10) (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,Manager 8.0+ JFA,We recommend upgrading to a modern browser.,44,No,Yes,"Personality & Behavior, Knowledge & Skills","Manager 8.0+ JFA We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,Microsoft Excel 365 - Essentials (New),We recommend upgrading to a modern browser.,30,No,Yes,"Personality & Behavior, Knowledge & Skills","Microsoft Excel 365 - Essentials (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,Digital Advertising (New),We recommend upgrading to a modern browser.,7,No,Yes,"Personality & Behavior, Knowledge & Skills","Digital Advertising (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,WriteX - Email Writing (Sales) (New),We recommend upgrading to a modern browser.,15,No,Yes,"Personality & Behavior, Knowledge & Skills","WriteX - Email Writing (Sales) (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,SHL Verify Interactive Numerical Calculation,We recommend upgrading to a modern browser.,10,Yes,Yes,"Personality & Behavior, Knowledge & Skills","SHL Verify Interactive Numerical Calculation We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,Professional + 7.1 (International),We recommend upgrading to a modern browser.,56,No,Yes,"Personality & Behavior, Knowledge & Skills","Professional + 7.1 (International) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,SQL Server Analysis Services (SSAS) (New),We recommend upgrading to a modern browser.,15,No,Yes,"Personality & Behavior, Knowledge & Skills","SQL Server Analysis Services (SSAS) (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/python-new/,Python (New),We recommend upgrading to a modern browser.,11,No,Yes,"Personality & Behavior, Knowledge & Skills","Python (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,Tableau (New),We recommend upgrading to a modern browser.,8,No,Yes,"Personality & Behavior, Knowledge & Skills","Tableau (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,Microsoft Excel 365 (New),We recommend upgrading to a modern browser.,35,No,Yes,"Personality & Behavior, Knowledge & Skills","Microsoft Excel 365 (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,Professional + 7.0 Solution,We recommend upgrading to a modern browser.,51,No,Yes,"Personality & Behavior, Knowledge & Skills","Professional + 7.0 Solution We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,Data Warehousing Concepts,We recommend upgrading to a modern browser.,25,No,Yes,"Personality & Behavior, Knowledge & Skills","Data Warehousing Concepts We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
